TIME,GEO,UNIT,PURPOSE,DURATION,PARTNER,Value,Flag and Footnotes
2009,Croatia,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Croatia,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Croatia,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Croatia,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Total,1 night or over,Europe,:,
2009,Italy,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Total,From 1 to 3 nights,Europe,:,
2009,Italy,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Total,4 nights or over,Europe,:,
2009,Italy,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Personal reasons,1 night or over,Europe,:,
2009,Italy,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Italy,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Personal reasons,4 nights or over,Europe,:,
2009,Italy,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,"Professional, business",1 night or over,Europe,:,
2009,Italy,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Italy,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,"Professional, business",4 nights or over,Europe,:,
2009,Italy,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Italy,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Italy,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Italy,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Italy,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Total,1 night or over,Europe,:,
2009,Cyprus,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Total,From 1 to 3 nights,Europe,:,
2009,Cyprus,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Total,4 nights or over,Europe,:,
2009,Cyprus,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Personal reasons,1 night or over,Europe,:,
2009,Cyprus,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Cyprus,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Personal reasons,4 nights or over,Europe,:,
2009,Cyprus,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,"Professional, business",1 night or over,Europe,:,
2009,Cyprus,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Cyprus,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,"Professional, business",4 nights or over,Europe,:,
2009,Cyprus,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Cyprus,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Cyprus,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
